message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (auto_init:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (consent_settings:G1)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (use_service:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getBoolean - (use_service:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (previous_os_version:11)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getLong - (session_timeout:1800000)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getLong - (last_pause_time:1682683862048)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getBoolean - (deferred_analytics_collection:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (consent_settings:G1)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (default_event_parameters:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (measurement_enabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getBoolean - (deferred_analytics_collection:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | getString - (consent_settings:G1)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | putBoolean - (allow_remote_dynamite:true)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kaccountAlertType:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kaccountAlertLocation:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (country_code:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (contactCountry:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (customCountry:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (pch:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (old_user_id:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (UUID:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (imageQuality:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (statusMessage:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (userType:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (profileImageUrl:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (nickName:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (identifiedPhoneNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (oldIdentifiedPhoneNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (rawPhoneNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (videoQuality:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (labEvent:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (NotificationToastOption:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (NotificationPositionOption:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (NotificationDisplayOption:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shake_mode:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shakehome_enable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shakehome_qrcheckin:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shakehome_qrcard:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shakehome_codescan:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shakehome_payment:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shakehome_new:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (screenMode:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (daumSsoLoginAvailable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (keyword_notification_force_cut:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (key_video_endcoding_min_sdk_version:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (fullProfileImageUrl:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (originalProfileImageUrl:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (fullAnimatedProfileImageUrl:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (originalAnimatedProfileImageUrl:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (formattedPstnNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (formattedNsnNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (phoneNumberStatus:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kakao_account_status:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kakao_account_email:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kakao_account_verified:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (accountId:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (hashedAccountId:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (accountDisplayId:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (profileImage:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (dirtiedPhoneNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (blockRevision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (plusBlockRevision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (requestedPhoneNumbers:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (passcodeTimeOut:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (userLocale:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (keyword_notification_sync_conflicted:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (video_hevc_supported:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (installedApplicationVersionCode:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (alert_sound:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (settingsNewBadgeAvailable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (agree_adid_terms:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (googleAdidPair:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (memochat_user_id:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (seenAccountNotice:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (seenNewAccountNotice:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (mccmnc:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (screenToken:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (decoration:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (attestation_nonce:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (birthdayNotification:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (authenticationStatus:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (authenticationViewData:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (needToReauthenticate:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enterReauthentication:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (signupSession:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (exceed_request_sms:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (authRequestRetryTime:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (authMethod:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (applied_theme:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (theme_info_revision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (theme_badge_revision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (passcodeTimeoutAt:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (smsRequestToken:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (invalidate_auth_message:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (pnChanged_auth_message:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (cleanup_service_data:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (theme_new_badge:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (NotificationBadgeOnAppIcon:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableNoticationSound:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableNotication:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (currentMainTab:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableMultiChatPush:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableNoAlertNoNotibar:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (recentVersion:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (chatMessageTextSize:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sub_device:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (cshost:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (csport:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (cshost6:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (vsshost:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (vsshost6:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (vssport:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (available:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (available2:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableWalkietalkie:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (checkVoiceCallAvailable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (product_build:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (checkSmsAvailable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (revisionNumber:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (revisionInfo:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (location_agree:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (voip_receive:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (use_shopping_tab:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (useSub:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (notificationKeyword:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (availableKeywordNotification:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (finger_print_lock:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (googleMapMode:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (KeywordAlertSound:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (googleMapKey:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (signature:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (keyboardPopupWindowEnabled:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (snowFall:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (pay_clipboard:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (onlyReceiveGameMessageFromFriends:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (doNotDisturbSettingEnable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (doNotDisturbSettingStartTime:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (doNotDisturbSettingEndTime:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (shouldShowAccessibilityScriptInjection:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (info:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (openlink_search_histroy:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (trackerFireTime:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (lessSettingsPollingInterval:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (settingsPollingInterval:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (contentTab:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (showPlusFriendAdDisabledDialog:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (plusFriendAdIds:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (subdevice_kickout:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kickout_message:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (signUpPostMessage:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (authentication_at_install:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kickout_button_label:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kickout_button_url:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (searchKeywordHistory:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (kakaoAutoLoginDomain:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (daumSsoDomain:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (pinned_chatrooms:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (chatroom_sort_order:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_2:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_3:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_4:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_9:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_10:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_11:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_12:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (spush_token_base_15:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (lastSelectedTab:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (addressSuggestHistory:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (updateRequired:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (vibrate_pattern:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (plusVideoAutoplayOption:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (notiRcvsData:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sharpTextLongTapSearch:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sharpSearchTag:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (locoExceptionSendToMoca:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (anr_send_to_moca:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (fcmDelayCreateAt:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (fcmDelay:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (video_transcoding_setting:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (apihub_localSuggest:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (apihub_localKeyword:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (apihub_coord2address:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (apihub_geocodeAddress:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (apihub_placeOpenHour:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableEmoticonSoundInChatroom:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (chatroom_grouping:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (chatroom_grouping_onoff:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (is_first_time_chatroom_grouping:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sharpTabBadgeRevision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sharpTabBadgeTo:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sharpTabBadgeFrom:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (sharpTabBadgeConsumed:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (globalTabBannerRevision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (globalTabBannerConsumedRevision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (globalTabBannerObject:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (inhouseInventoryRevision:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (inhouseInventoryObject:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (dismissed_ignoring_battery_optimization:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (hq_video_supported_at:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (favorite_items:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (chat_report_limit:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (eklpkdns:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (chat_delete_to_all_available_time:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (friendListCollapsed:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (hiddenFriendListCollapsed:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (blockedFriendListCollapsed:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (subDeviceLoginAlert:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (friendAutomation:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (friendRecommendation:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (birthday_friends_enable:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (vibration_on:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (keywordLogList:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (keywordLogChatRoom1st:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (keywordLogUnread:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (media_empty_mode:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (groupCallMaxParticipantCount:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (groupFaceCallMaxParticipantCount:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (postExpirationFlag:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (postExpirationTerm:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (postExpirationPopupNotShow:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableMultiPhoto:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableReplyGesture:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (enableReplyNotification:null)'} data: None
message: {'type': 'send', 'payload': 'API Monitor | SharedPreferences | contains - (warning_storage_size:null)'} data: None
